Locus outliers:  0.06533062 (0.06218895,0.06844747)...
  TP128786[1991]: 0.160614  3.94185
  TP129480[2018]: 0.08349448  4.297647
  TP129824[2032]: 0.0129287  4.230623
  TP130444[2055]: 0.1664351  4.211059
  TP130546[2060]: 0.01331112  4.083249
  TP130812[2065]: 0.001005825  48.95243
Population outliers:  0.006696405 (0.000505887,0.01557298)...
  ANY[2]: 6.178572e-05  96.3764
  BRD[5]: 0.000397241  5.958361
  CDB[6]: 0.0002078103  22.30408
  CER[7]: 0.0001919207  18.92754
  KSW[11]: 0.02258678  93.58556
  MGU[13]: 0.0002003159  24.67204
  POT[14]: 0.0001514052  33.34203
  RIV[15]: 0.01331483  17.00205
  RND[16]: 0.0001279461  36.49576
  SWA[17]: 0.0003918167  4.434468
  UNI[18]: 0.0001687897  26.26021
  VAN[19]: 0.0002213698  16.00408
